Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,141.0,-112.0,0.0,top
C2,1uF,C_0603_1608Metric,141.0,-114.0,0.0,top
C3,1uF,C_0603_1608Metric,141.0,-80.0,0.0,top
C4,1uF,C_0603_1608Metric,141.0,-82.0,0.0,top
C5,0.1u,C_0603_1608Metric,125.175,-95.509999,180.0,top
C6,0.1u,C_0603_1608Metric,125.175,-109.509999,0.0,top
C7,10u,C_0603_1608Metric,125.175,-99.509999,0.0,top
C8,10u,C_0603_1608Metric,125.175,-105.509999,0.0,top
C9,18p,C_0603_1608Metric,120.175,-95.509998,0.0,top
C10,18p,C_0603_1608Metric,120.175,-109.509999,0.0,top
C11,100n,C_0603_1608Metric,125.175,-102.509999,0.0,top
C12,1n,C_0603_1608Metric,114.0,-93.5,0.0,top
C13,1n,C_0603_1608Metric,114.0,-111.5,0.0,top
C14,1u,C_0603_1608Metric,114.0,-95.499999,0.0,top
C15,1u,C_0603_1608Metric,114.0,-109.499999,0.0,top
C16,0.1u,C_0603_1608Metric,125.175,-65.009999,180.0,top
C17,0.1u,C_0603_1608Metric,125.175,-79.009999,0.0,top
C18,10u,C_0603_1608Metric,125.175,-69.009999,0.0,top
C19,10u,C_0603_1608Metric,125.175,-75.009999,0.0,top
C20,18p,C_0603_1608Metric,120.175,-65.009998,0.0,top
C21,18p,C_0603_1608Metric,120.175,-79.009999,0.0,top
C22,100n,C_0603_1608Metric,125.175,-72.009999,0.0,top
C23,1n,C_0603_1608Metric,114.0,-63.0,0.0,top
C24,1n,C_0603_1608Metric,114.0,-81.0,0.0,top
C25,1u,C_0603_1608Metric,114.0,-64.999999,0.0,top
C26,1u,C_0603_1608Metric,114.0,-78.999999,0.0,top
C27,0.1u,C_0603_1608Metric,125.175,-39.009999,180.0,top
C28,0.1u,C_0603_1608Metric,125.175,-53.009999,0.0,top
C29,10u,C_0603_1608Metric,125.175,-43.009999,0.0,top
C30,10u,C_0603_1608Metric,125.175,-49.009999,0.0,top
C31,18p,C_0603_1608Metric,120.175,-39.009998,0.0,top
C32,18p,C_0603_1608Metric,120.175,-53.009999,0.0,top
C33,100n,C_0603_1608Metric,125.175,-46.009999,0.0,top
C34,1n,C_0603_1608Metric,114.0,-37.0,0.0,top
C35,1n,C_0603_1608Metric,114.0,-55.0,0.0,top
C36,1u,C_0603_1608Metric,114.0,-38.999999,0.0,top
C37,1u,C_0603_1608Metric,114.0,-52.999999,0.0,top
C38,2.2uF,C_0603_1608Metric,138.82,-105.0,180.0,top
C39,0.1uF,C_0603_1608Metric,138.82,-107.0,180.0,top
C40,2.2uF,C_0603_1608Metric,132.0,-112.5,90.0,top
C41,0.15uF,C_0603_1608Metric,138.225,-117.0,180.0,top
C42,2.2uF,C_0603_1608Metric,135.0,-119.0,180.0,top
C43,0.1uF,C_0603_1608Metric,135.0,-117.0,180.0,top
C44,2.2uF,C_0603_1608Metric,138.82,-73.18,180.0,top
C45,0.1uF,C_0603_1608Metric,138.82,-75.18,180.0,top
C46,2.2uF,C_0603_1608Metric,132.0,-80.68,90.0,top
C47,0.15uF,C_0603_1608Metric,138.225,-85.18,180.0,top
C48,2.2uF,C_0603_1608Metric,135.0,-87.18,180.0,top
C49,0.1uF,C_0603_1608Metric,135.0,-85.18,180.0,top
C50,2.2uF,C_0603_1608Metric,139.82,-50.0,180.0,top
C51,0.1uF,C_0603_1608Metric,139.82,-52.0,180.0,top
C52,2.2uF,C_0603_1608Metric,133.0,-57.775,90.0,top
C53,0.15uF,C_0603_1608Metric,139.225,-62.0,180.0,top
C54,2.2uF,C_0603_1608Metric,136.0,-64.0,180.0,top
C55,0.1uF,C_0603_1608Metric,136.0,-62.0,180.0,top
C56,22uF 16V,C_0805_2012Metric,132.5,-138.0,180.0,top
C57,100nF,C_0603_1608Metric,139.5,-134.0,180.0,top
C58,10nF,C_0603_1608Metric,132.5,-140.0,180.0,top
C59,1nF,C_0603_1608Metric,147.5,-142.0,0.0,top
C60,1u,C_0603_1608Metric,133.0,-134.5,180.0,top
C61,10pF,C_0603_1608Metric,147.5,-140.0,0.0,top
C62,1u,C_0603_1608Metric,133.0,-128.5,180.0,top
C63,47uF,C_1210_3225Metric,155.5,-140.5,-90.0,top
D1,BAT54S,SOT-23,114.0,-99.437499,270.0,top
D2,BAT54S,SOT-23,114.0,-105.499999,90.0,top
D3,BAT54S,SOT-23,114.0,-68.937499,270.0,top
D4,BAT54S,SOT-23,114.0,-74.999999,90.0,top
