Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,120.155,-116.84,0.0,top
C10,18p,C_0603_1608Metric,170.825,-111.0,-90.0,top
C11,100n,C_0603_1608Metric,165.825,-113.0,0.0,top
C12,1n,C_0603_1608Metric,154.825,-108.0,-90.0,top
C13,1n,C_0603_1608Metric,154.825,-114.0,-90.0,top
C14,1u,C_0603_1608Metric,151.825,-108.0,0.0,top
C15,1u,C_0603_1608Metric,151.825,-114.0,0.0,top
C16,0.1u,C_0603_1608Metric,178.825,-118.0,90.0,top
C17,0.1u,C_0603_1608Metric,178.825,-125.0,90.0,top
C18,10u,C_0603_1608Metric,165.825,-117.0,0.0,top
C19,10u,C_0603_1608Metric,161.825,-128.0,0.0,top
C2,1uF,C_0603_1608Metric,120.155,-119.38,180.0,top
C20,18p,C_0603_1608Metric,160.825,-125.0,-90.0,top
C21,18p,C_0603_1608Metric,170.825,-125.0,-90.0,top
C22,100n,C_0603_1608Metric,165.825,-127.0,0.0,top
C23,1n,C_0603_1608Metric,154.825,-122.0,-90.0,top
C24,1n,C_0603_1608Metric,154.825,-128.0,-90.0,top
C25,1u,C_0603_1608Metric,151.825,-122.0,0.0,top
C26,1u,C_0603_1608Metric,151.825,-128.0,0.0,top
C27,0.1u,C_0603_1608Metric,179.0,-132.0,90.0,top
C28,0.1u,C_0603_1608Metric,179.0,-139.0,90.0,top
C29,10u,C_0603_1608Metric,166.0,-131.0,0.0,top
C3,1uF,C_0603_1608Metric,120.155,-121.92,180.0,top
C30,10u,C_0603_1608Metric,162.0,-142.0,0.0,top
C31,18p,C_0603_1608Metric,161.0,-139.0,-90.0,top
C32,18p,C_0603_1608Metric,171.0,-139.0,-90.0,top
C33,100n,C_0603_1608Metric,166.0,-141.0,0.0,top
C34,1n,C_0603_1608Metric,155.0,-136.0,-90.0,top
C35,1n,C_0603_1608Metric,155.0,-142.0,-90.0,top
C36,1u,C_0603_1608Metric,152.0,-136.0,0.0,top
C37,1u,C_0603_1608Metric,152.0,-142.0,0.0,top
C38,2.2uF,C_0603_1608Metric,129.46,-106.29,180.0,top
C39,0.1uF,C_0603_1608Metric,129.46,-107.79,180.0,top
C4,1uF,C_0603_1608Metric,120.155,-124.46,180.0,top
C40,2.2uF,C_0603_1608Metric,133.96,-106.79,0.0,top
C41,0.15uF,C_0603_1608Metric,133.46,-114.29,0.0,top
C42,2.2uF,C_0603_1608Metric,129.46,-111.29,-90.0,top
C43,0.1uF,C_0603_1608Metric,130.96,-111.29,-90.0,top
C44,2.2uF,C_0603_1608Metric,129.05,-120.7,180.0,top
C45,0.1uF,C_0603_1608Metric,129.05,-122.2,180.0,top
C46,2.2uF,C_0603_1608Metric,133.55,-121.2,0.0,top
C47,0.15uF,C_0603_1608Metric,133.05,-128.7,0.0,top
C48,2.2uF,C_0603_1608Metric,129.05,-125.7,-90.0,top
C49,0.1uF,C_0603_1608Metric,130.55,-125.7,-90.0,top
C5,0.1u,C_0603_1608Metric,178.825,-104.0,90.0,top
C50,2.2uF,C_0603_1608Metric,129.05,-134.7,180.0,top
C51,0.1uF,C_0603_1608Metric,129.05,-136.2,180.0,top
C52,2.2uF,C_0603_1608Metric,133.55,-135.2,0.0,top
C53,0.15uF,C_0603_1608Metric,133.05,-142.7,0.0,top
C54,2.2uF,C_0603_1608Metric,129.05,-139.7,-90.0,top
C55,0.1uF,C_0603_1608Metric,130.55,-139.7,-90.0,top
C56,22uF 16V,C_0805_2012Metric,118.25,-62.5,180.0,top
C57,100nF,C_0603_1608Metric,125.25,-58.5,180.0,top
C58,10nF,C_0603_1608Metric,118.25,-64.5,180.0,top
C59,1nF,C_0603_1608Metric,133.25,-66.5,0.0,top
C6,0.1u,C_0603_1608Metric,178.825,-111.0,90.0,top
C60,1u,C_0603_1608Metric,118.75,-59.0,180.0,top
C61,10pF,C_0603_1608Metric,133.25,-64.5,0.0,top
C62,1u,C_0603_1608Metric,118.75,-53.0,180.0,top
C63,47uF,C_1210_3225Metric,141.25,-65.0,-90.0,top
C7,10u,C_0603_1608Metric,165.825,-103.0,0.0,top
C8,10u,C_0603_1608Metric,161.825,-114.0,0.0,top
C9,18p,C_0603_1608Metric,160.825,-111.0,-90.0,top
D1,BAT54S,SOT-23,151.825,-105.0,270.0,top
D2,BAT54S,SOT-23,151.825,-111.0,270.0,top
D3,BAT54S,SOT-23,151.825,-119.0,270.0,top
D4,BAT54S,SOT-23,151.825,-125.0,270.0,top
D5,BAT54S,SOT-23,152.0,-133.0,270.0,top
D6,BAT54S,SOT-23,152.0,-139.0,270.0,top
D7,B340A,D_SMA,133.25,-61.5,0.0,top
FB1,600,L_0603_1608Metric,129.46,-104.79,180.0,top
FB2,600,L_0603_1608Metric,129.05,-119.2,180.0,top
FB3,600,L_0603_1608Metric,129.05,-133.2,180.0,top
J1,FRETBOARD_CONNECTION,jst zh fretboard connector,152.0,-62.575,180.0,top
J10,Conn_01x04_Socket,PinSocket_1x04_P1.27mm_Vertical,115.005,-99.975,90.0,top
J2,Conn_02x12_Odd_Even,PinHeader_2x12_P2.54mm_Vertical,105.33,-115.57,0.0,top
J3,Conn_01x10,PinHeader_1x10_P1.27mm_Vertical,114.2325,-71.725,90.0,top
J4,GK3_breakout,PinHeader_1x08_P2.54mm_Vertical,185.0,-109.19,180.0,top
J5,GK3_socket,gk3 connector THT,184.4,-128.0,90.0,top
J6,post_amp_breakout,PinHeader_1x08_P2.54mm_Vertical,147.0,-119.73,180.0,top
J8,Conn_01x04_Socket,PinSocket_1x04_P1.27mm_Vertical,115.005,-92.075,90.0,top
J9,Conn_01x04_Socket,PinSocket_1x04_P1.27mm_Vertical,115.005,-96.075,90.0,top
L1,6.8uH,L_Changjiang_FNR4020S,131.5,-55.0,0.0,top
R1,47R,R_0603_1608Metric,116.395,-111.76,180.0,top
R10,100R,R_0603_1608Metric,116.395,-116.76,0.0,top
R11,100R,R_0603_1608Metric,116.395,-119.38,0.0,top
R12,100R,R_0603_1608Metric,116.395,-121.92,0.0,top
R13,100R,R_0603_1608Metric,116.395,-124.46,0.0,top
R14,1M,R_0603_1608Metric,178.825,-107.0,-90.0,top
R15,1M,R_0603_1608Metric,178.825,-114.0,-90.0,top
R16,2M,R_0603_1608Metric,176.825,-104.0,-90.0,top
R17,2M,R_0603_1608Metric,176.825,-107.0,-90.0,top
R18,2M,R_0603_1608Metric,176.825,-111.0,-90.0,top
R19,2M,R_0603_1608Metric,176.825,-114.0,-90.0,top
R2,47R,R_0603_1608Metric,116.395,-114.3,180.0,top
R20,10k,R_0603_1608Metric,165.825,-105.0,180.0,top
R21,10k,R_0603_1608Metric,169.825,-114.0,0.0,top
