Designator,Mid X,Mid Y,Rotation,Layer
C1,120.155,-116.84,0.0,top
C10,170.825,-111.0,270.0,top
C11,165.825,-113.0,0.0,top
C12,154.825,-108.0,270.0,top
C13,154.825,-114.0,270.0,top
C14,151.825,-108.0,0.0,top
C15,151.825,-114.0,0.0,top
C16,178.825,-118.0,90.0,top
C17,178.825,-125.0,90.0,top
C18,165.825,-117.0,0.0,top
C19,161.825,-128.0,0.0,top
C2,120.155,-119.38,180.0,top
C20,160.825,-125.0,270.0,top
C21,170.825,-125.0,270.0,top
C22,165.825,-127.0,0.0,top
C23,154.825,-122.0,270.0,top
C24,154.825,-128.0,270.0,top
C25,151.825,-122.0,0.0,top
C26,151.825,-128.0,0.0,top
C27,179.0,-132.0,90.0,top
C28,179.0,-139.0,90.0,top
C29,166.0,-131.0,0.0,top
C3,120.155,-121.92,180.0,top
C30,162.0,-142.0,0.0,top
C31,161.0,-139.0,270.0,top
C32,171.0,-139.0,270.0,top
C33,166.0,-141.0,0.0,top
C34,155.0,-136.0,270.0,top
C35,155.0,-142.0,270.0,top
C36,152.0,-136.0,0.0,top
C37,152.0,-142.0,0.0,top
C38,129.46,-106.29,180.0,top
C39,129.46,-107.79,180.0,top
C4,120.155,-124.46,180.0,top
C40,133.96,-106.79,0.0,top
C41,133.46,-114.29,0.0,top
C42,129.46,-111.29,270.0,top
C43,130.96,-111.29,270.0,top
C44,129.05,-120.7,180.0,top
C45,129.05,-122.2,180.0,top
C46,133.55,-121.2,0.0,top
C47,133.05,-128.7,0.0,top
C48,129.05,-125.7,270.0,top
C49,130.55,-125.7,270.0,top
C5,178.825,-104.0,90.0,top
C50,129.05,-134.7,180.0,top
C51,129.05,-136.2,180.0,top
C52,133.55,-135.2,0.0,top
C53,133.05,-142.7,0.0,top
C54,129.05,-139.7,270.0,top
C55,130.55,-139.7,270.0,top
C56,118.25,-62.5,180.0,top
C57,125.25,-58.5,180.0,top
C58,118.25,-64.5,180.0,top
C59,133.25,-66.5,0.0,top
C6,178.825,-111.0,90.0,top
C60,118.75,-59.0,180.0,top
C61,133.25,-64.5,0.0,top
C62,118.75,-53.0,180.0,top
C63,141.25,-65.0,270.0,top
C7,165.825,-103.0,0.0,top
C8,161.825,-114.0,0.0,top
C9,160.825,-111.0,270.0,top
D1,151.825,-105.0,180.0,top
D2,151.825,-111.0,180.0,top
D3,151.825,-119.0,180.0,top
D4,151.825,-125.0,180.0,top
D5,152.0,-133.0,180.0,top
D6,152.0,-139.0,180.0,top
D7,133.25,-61.5,0.0,top
FB1,129.46,-104.79,180.0,top
FB2,129.05,-119.2,180.0,top
FB3,129.05,-133.2,180.0,top
J1,152.0,-62.0,180.0,top
J10,115.005,-99.975,90.0,top
J2,105.33,-115.57,0.0,top
J3,114.2325,-71.725,90.0,top
J4,185.0,-109.19,180.0,top
J5,184.4,-128.0,90.0,top
J6,147.0,-119.73,180.0,top
J8,115.005,-92.075,90.0,top
J9,115.005,-96.075,90.0,top
L1,131.5,-55.0,0.0,top
R1,116.395,-111.76,180.0,top
R10,116.395,-116.76,0.0,top
R11,116.395,-119.38,0.0,top
R12,116.395,-121.92,0.0,top
R13,116.395,-124.46,0.0,top
R14,178.825,-107.0,270.0,top
R15,178.825,-114.0,270.0,top
R16,176.825,-104.0,270.0,top
R17,176.825,-107.0,270.0,top
R18,176.825,-111.0,270.0,top
R19,176.825,-114.0,270.0,top
R2,116.395,-114.3,180.0,top
R20,165.825,-105.0,180.0,top
R21,169.825,-114.0,0.0,top
R22,157.825,-109.0,90.0,top
R23,160.825,-108.0,90.0,top
R24,173.825,-109.0,90.0,top
R25,170.825,-108.0,90.0,top
R26,154.825,-105.0,90.0,top
R27,154.825,-111.0,90.0,top
R28,178.825,-121.0,270.0,top
R29,178.825,-128.0,270.0,top
R3,111.1375,-87.25,90.0,top
R30,176.825,-118.0,270.0,top
R31,176.825,-121.0,270.0,top
R32,176.825,-125.0,270.0,top
R33,176.825,-128.0,270.0,top
R34,165.825,-119.0,180.0,top
R35,169.825,-128.0,0.0,top
R36,157.825,-123.0,90.0,top
R37,160.825,-122.0,90.0,top
R38,173.825,-123.0,90.0,top
R39,170.825,-122.0,90.0,top
R4,113.1375,-87.25,90.0,top
R40,154.825,-119.0,90.0,top
R41,154.825,-125.0,90.0,top
R42,179.0,-135.0,270.0,top
R43,179.0,-142.0,270.0,top
R44,177.0,-132.0,270.0,top
R45,177.0,-135.0,270.0,top
R46,177.0,-139.0,270.0,top
R47,177.0,-142.0,270.0,top
R48,166.0,-133.0,180.0,top
R49,170.0,-142.0,0.0,top
R5,115.1375,-87.25,90.0,top
R50,158.0,-137.0,90.0,top
R51,161.0,-136.0,90.0,top
R52,174.0,-137.0,90.0,top
R53,171.0,-136.0,90.0,top
R54,155.0,-133.0,90.0,top
R55,155.0,-139.0,90.0,top
