Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0805_2012Metric,34.0,-168.0,90.0,top
J1,Conn_01x06_Pin,jst zh fretboard connector,37.0,-176.0,90.0,top
R1,10k,R_0603_1608Metric,29.0,-44.0,0.0,top
R2,10k,R_0603_1608Metric,33.0,-44.0,0.0,top
R3,10k,R_0603_1608Metric,29.0,-46.0,0.0,top
R4,10k,R_0603_1608Metric,33.0,-46.0,0.0,top
R5,10k,R_0603_1608Metric,29.0,-48.0,0.0,top
R6,10k,R_0603_1608Metric,33.0,-48.0,0.0,top
R7,10k,R_0603_1608Metric,29.0,-63.0,0.0,top
R8,10k,R_0603_1608Metric,33.0,-63.0,0.0,top
R9,10k,R_0603_1608Metric,29.0,-77.1,0.0,top
R10,10k,R_0603_1608Metric,33.0,-77.1,0.0,top
R11,10k,R_0603_1608Metric,29.0,-79.0,0.0,top
R12,10k,R_0603_1608Metric,33.0,-79.0,0.0,top
R13,10k,R_0603_1608Metric,29.0,-94.0,0.0,top
R14,10k,R_0603_1608Metric,33.0,-94.0,0.0,top
R15,10k,R_0603_1608Metric,29.0,-96.0,0.0,top
R16,10k,R_0603_1608Metric,33.0,-96.0,0.0,top
R17,10k,R_0603_1608Metric,29.0,-109.0,0.0,top
R18,10k,R_0603_1608Metric,33.0,-109.0,0.0,top
R19,10k,R_0603_1608Metric,29.0,-124.0,0.0,top
R20,10k,R_0603_1608Metric,33.0,-124.0,0.0,top
R21,10k,R_0603_1608Metric,29.0,-126.0,0.0,top
R22,10k,R_0603_1608Metric,33.0,-126.0,0.0,top
R23,10k,R_0603_1608Metric,29.0,-128.0,0.0,top
R24,10k,R_0603_1608Metric,33.0,-128.0,0.0,top
R25,10k,R_0603_1608Metric,29.0,-152.0,0.0,top
R26,10k,R_0603_1608Metric,33.0,-152.0,0.0,top
R27,10k,R_0603_1608Metric,29.0,-154.0,0.0,top
R28,10k,R_0603_1608Metric,33.0,-154.0,0.0,top
R29,10k,R_0603_1608Metric,29.0,-156.0,0.0,top
R30,10k,R_0603_1608Metric,33.0,-156.0,0.0,top
R31,220R,R_0603_1608Metric,32.0,-168.0,90.0,top
U1,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,31.0,-56.0,270.0,top
U2,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,31.0,-87.0,270.0,top
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,31.0,-116.0,270.0,top
U4,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,31.0,-144.0,270.0,top
